,Ad_exchange,slot,bidding_price,paying_price,advertiser_id
43690,2,2,300,40,1458
43691,2,2,300,5,1458
43692,2,1,300,134,1458
43693,2,2,300,40,1458
43694,2,2,300,40,1458
43695,2,1,300,24,1458
43696,2,0,300,200,1458
43697,2,2,300,23,1458
43698,2,2,300,22,1458
43699,2,2,300,32,1458
43700,2,1,300,28,1458
43701,2,1,300,66,1458
43703,2,1,300,119,1458
43704,2,2,300,70,1458
43705,2,1,300,112,1458
43706,2,1,300,164,1458
43707,2,0,300,59,1458
43708,2,0,300,59,1458
43709,2,2,300,16,1458
43710,2,1,300,54,1458
43711,2,2,300,22,1458
43712,2,2,300,44,1458
43713,2,1,300,32,1458
43714,2,2,300,40,1458
43715,2,0,300,148,1458
43717,2,0,300,138,1458
43718,2,2,300,31,1458
43719,2,2,300,40,1458
43720,2,2,300,40,1458
43721,2,1,300,178,1458
43722,2,2,300,42,1458
43723,2,0,300,177,1458
43724,2,2,300,20,1458
43725,2,2,300,16,1458
43726,2,1,300,61,1458
43727,2,2,300,40,1458
43728,2,1,300,42,1458
43729,2,0,300,40,1458
43730,2,0,300,118,1458
43731,2,2,300,13,1458
43732,2,2,300,40,1458
43733,2,2,300,73,1458
43734,2,0,300,133,1458
43735,2,1,300,18,1458
43736,2,2,300,40,1458
43737,2,2,300,56,1458
43738,2,2,300,262,1458
43739,2,2,300,82,1458
43740,2,2,300,113,1458
43741,2,2,300,34,1458
43742,2,1,300,220,1458
43743,2,1,300,40,1458
43744,2,1,300,28,1458
43745,2,0,300,59,1458
43746,2,0,300,59,1458
43747,2,2,300,14,1458
43748,2,2,300,51,1458
43750,2,1,300,120,1458
43751,2,0,300,59,1458
43752,2,2,300,32,1458
43753,2,2,300,40,1458
43754,2,2,300,16,1458
43755,2,2,300,40,1458
43756,2,1,300,40,1458
43757,2,2,300,224,1458
43758,2,0,300,162,1458
43759,2,2,300,89,1458
43760,2,2,300,20,1458
43761,2,2,300,40,1458
43762,2,2,300,24,1458
43763,2,0,300,40,1458
43764,2,2,300,10,1458
43765,2,2,300,33,1458
43766,2,0,300,162,1458
43767,2,2,300,32,1458
43768,2,2,300,70,1458
43769,2,2,300,12,1458
43770,2,2,300,40,1458
43771,2,2,300,40,1458
43772,2,2,300,26,1458
43773,2,1,300,136,1458
43774,2,1,300,135,1458
43775,2,2,300,40,1458
43776,2,2,300,32,1458
43777,2,2,300,40,1458
43778,2,2,300,13,1458
43779,2,2,300,40,1458
43780,2,1,300,50,1458
43781,2,2,300,68,1458
43782,2,2,300,9,1458
43783,2,2,300,152,1458
43784,2,0,300,148,1458
43785,2,0,300,59,1458
43786,2,1,300,48,1458
43787,2,1,300,29,1458
43788,2,2,300,291,1458
43789,2,1,300,300,1458
43790,2,1,300,40,1458
43791,2,2,300,40,1458
43792,2,0,300,5,1458
43793,2,1,300,40,1458
43794,2,1,300,94,1458
43795,2,0,300,59,1458
43796,2,2,300,32,1458
43797,2,0,300,162,1458
43799,2,2,300,120,1458
43800,2,2,300,36,1458
43801,2,2,300,281,1458
43802,2,2,300,51,1458
43803,2,1,300,101,1458
43804,2,2,300,276,1458
43805,2,1,300,40,1458
43806,2,1,300,116,1458
43807,2,2,300,20,1458
43808,2,2,300,20,1458
43809,2,2,300,12,1458
43810,2,0,300,8,1458
43811,2,2,300,40,1458
43812,2,1,300,96,1458
43813,2,0,300,100,1458
43814,2,2,300,44,1458
43815,2,0,300,162,1458
43816,2,1,300,52,1458
43817,2,2,300,32,1458
43818,2,2,300,32,1458
43819,2,2,300,40,1458
43820,2,2,300,40,1458
43821,2,2,300,5,1458
43822,2,2,300,40,1458
43823,2,1,300,40,1458
43824,2,2,300,139,1458
43825,2,2,300,40,1458
43826,2,0,300,40,1458
43827,2,2,300,114,1458
43828,2,2,300,13,1458
43829,2,1,300,135,1458
43830,2,2,300,52,1458
43831,2,2,300,42,1458
43832,2,2,300,40,1458
43833,2,1,300,285,1458
43834,2,2,300,40,1458
43835,2,2,300,16,1458
43836,2,0,300,59,1458
43837,2,2,300,67,1458
43838,2,2,300,15,1458
43839,2,2,300,40,1458
43840,2,0,300,60,1458
43841,2,1,300,40,1458
43842,2,2,300,40,1458
43843,2,1,300,178,1458
43844,2,1,300,139,1458
43845,2,2,300,5,1458
43846,2,1,300,34,1458
43847,2,0,300,280,1458
43848,2,2,300,69,1458
43849,2,2,300,32,1458
43850,2,2,300,152,1458
43851,2,0,300,59,1458
43852,2,2,300,300,1458
43853,2,2,300,32,1458
43854,2,1,300,40,1458
43855,2,2,300,24,1458
43856,2,2,300,14,1458
43857,2,2,300,76,1458
43858,2,2,300,40,1458
43859,2,2,300,48,1458
43860,2,0,300,32,1458
43861,2,2,300,40,1458
43862,2,1,300,28,1458
43864,2,1,300,52,1458
43865,2,2,300,32,1458
43866,2,1,300,40,1458
43867,2,1,300,52,1458
43868,2,2,300,40,1458
43869,2,2,300,40,1458
43870,2,0,300,56,1458
43871,2,0,300,148,1458
43872,2,1,300,48,1458
43873,2,2,300,116,1458
43874,2,2,300,40,1458
43875,2,2,300,52,1458
43876,2,1,300,94,1458
43877,2,2,300,24,1458
43878,2,0,300,118,1458
43880,2,1,300,118,1458
43881,2,2,300,171,1458
43882,2,1,300,28,1458
43883,2,1,300,40,1458
43886,2,1,300,50,1458
43887,2,0,300,148,1458
43888,2,2,300,40,1458
43889,2,1,300,260,1458
43890,2,2,300,40,1458
43891,2,2,300,12,1458
43892,2,2,300,282,1458
43894,2,1,300,28,1458
43895,2,2,300,40,1458
43896,2,2,300,32,1458
43897,2,2,300,62,1458
43898,2,2,300,191,1458
43899,2,2,300,80,1458
43900,2,1,300,89,1458
43901,2,2,300,95,1458
43902,2,2,300,292,1458
43903,2,2,300,16,1458
43904,2,2,300,40,1458
43905,2,1,300,82,1458
43906,2,2,300,143,1458
43908,2,2,300,198,1458
43910,2,0,300,148,1458
43911,2,2,300,79,1458
43912,2,2,300,48,1458
43913,2,0,300,280,1458
43914,2,1,300,20,1458
43915,2,2,300,40,1458
43916,2,1,300,40,1458
43917,2,2,300,6,1458
43918,2,2,300,32,1458
43919,2,1,300,198,1458
43920,2,2,300,40,1458
43921,2,2,300,40,1458
43922,2,0,300,67,1458
43923,2,2,300,18,1458
43924,2,2,300,40,1458
43925,2,2,300,40,1458
43926,2,2,300,40,1458
43927,2,2,300,18,1458
43928,2,2,300,92,1458
43929,2,0,300,40,1458
43930,2,2,300,299,1458
43931,2,2,300,41,1458
43932,2,2,300,40,1458
43934,2,1,300,104,1458
43938,2,2,300,22,1458
43939,2,2,300,13,1458
43940,2,1,300,67,1458
43941,2,1,300,132,1458
43942,2,0,300,40,1458
43943,2,1,300,24,1458
43945,2,2,300,32,1458
43946,2,1,300,40,1458
43947,2,2,300,40,1458
43950,2,2,300,226,1458
43951,2,2,300,200,1458
43952,2,2,300,40,1458
43953,2,2,300,32,1458
43954,2,2,300,32,1458
43955,2,0,300,32,1458
43956,2,2,300,76,1458
43957,2,2,300,6,1458
43958,2,0,300,162,1458
43959,2,0,300,67,1458
43960,2,2,300,40,1458
43961,2,2,300,40,1458
43962,2,2,300,252,1458
43963,2,0,300,148,1458
43965,2,0,300,40,1458
43966,2,2,300,32,1458
43967,2,1,300,14,1458
43969,2,0,300,59,1458
43970,2,0,300,148,1458
43971,2,2,300,122,1458
43972,2,1,300,174,1458
43973,2,0,300,148,1458
43974,2,0,300,126,1458
43975,2,2,300,29,1458
43976,2,2,300,32,1458
43977,2,2,300,144,1458
43978,2,0,300,59,1458
43980,2,2,300,32,1458
43981,2,2,300,26,1458
43982,2,2,300,40,1458
43983,2,2,300,64,1458
43985,2,1,300,28,1458
43986,2,2,300,40,1458
43988,2,1,300,31,1458
43989,2,2,300,5,1458
43990,2,1,300,246,1458
43991,2,2,300,40,1458
43992,2,1,300,45,1458
43994,2,2,300,225,1458
43995,2,1,300,36,1458
43997,2,0,300,148,1458
43998,2,2,300,21,1458
43999,2,1,300,99,1458
44000,2,1,300,16,1458
44001,2,1,300,70,1458
44002,2,2,300,70,1458
44005,2,2,300,74,1458
44007,2,2,300,40,1458
44008,2,2,300,231,1458
44009,2,2,300,22,1458
44010,2,1,300,40,1458
44011,2,2,300,47,1458
44012,2,1,300,49,1458
44014,2,0,300,162,1458
44015,2,1,300,94,1458
44016,2,2,300,125,1458
44017,2,2,300,20,1458
44018,2,2,300,5,1458
44019,2,1,300,52,1458
44020,2,0,300,249,1458
44021,2,2,300,34,1458
44023,2,1,300,28,1458
44024,2,1,300,40,1458
44025,2,2,300,64,1458
44026,2,2,300,54,1458
44027,2,2,300,103,1458
44028,2,0,300,280,1458
44030,2,2,300,40,1458
44032,2,2,300,40,1458
44033,2,2,300,259,1458
44035,2,1,300,192,1458
44036,2,1,300,151,1458
44037,2,2,300,40,1458
44038,2,2,300,40,1458
44042,2,2,300,247,1458
44043,2,2,300,57,1458
44045,2,2,300,40,1458
44046,2,1,300,22,1458
44047,2,2,300,16,1458
44048,2,2,300,294,1458
44049,2,2,300,82,1458
44051,2,2,300,16,1458
44053,2,1,300,119,1458
44054,2,2,300,32,1458
44056,2,0,300,59,1458
44057,2,0,300,103,1458
44058,2,1,300,300,1458
44059,2,2,300,58,1458
44060,2,0,300,148,1458
44061,2,0,300,59,1458
44063,2,2,300,40,1458
44068,2,2,300,188,1458
44069,2,2,300,40,1458
44070,2,2,300,40,1458
44071,2,0,300,148,1458
44073,2,2,300,40,1458
44074,2,2,300,63,1458
44075,2,2,300,95,1458
44076,2,2,300,40,1458
44077,2,2,300,20,1458
44078,2,0,300,59,1458
44079,2,0,300,59,1458
44080,2,0,300,133,1458
44081,2,0,300,148,1458
44082,2,1,300,80,1458
44084,2,2,300,124,1458
44085,2,2,300,133,1458
44086,2,1,300,36,1458
44088,2,0,300,148,1458
44089,2,1,300,53,1458
44090,2,1,300,32,1458
44093,2,2,300,12,1458
44094,2,0,300,26,1458
44095,2,2,300,48,1458
44099,2,2,300,40,1458
44100,2,2,300,40,1458
44101,2,1,300,111,1458
44103,2,2,300,58,1458
44106,2,1,300,191,1458
44107,2,1,300,23,1458
44109,2,2,300,8,1458
44110,2,2,300,47,1458
44112,2,1,300,42,1458
44113,2,2,300,189,1458
44114,2,2,300,12,1458
44115,2,2,300,32,1458
44116,2,1,300,56,1458
44117,2,2,300,12,1458
44118,2,1,300,101,1458
44119,2,2,300,40,1458
44120,2,2,300,40,1458
44121,2,2,300,167,1458
44122,2,2,300,40,1458
44123,2,2,300,42,1458
44124,2,1,300,32,1458
44125,2,2,300,184,1458
44126,2,2,300,40,1458
44127,2,2,300,17,1458
44130,2,0,300,148,1458
44133,2,2,300,40,1458
44134,2,2,300,40,1458
44135,2,1,300,11,1458
44136,2,2,300,40,1458
44137,2,2,300,40,1458
44139,2,2,300,20,1458
44141,2,2,300,166,1458
44142,2,2,300,53,1458
44143,2,1,300,46,1458
44144,2,2,300,21,1458
44145,2,2,300,40,1458
44146,2,0,300,17,1458
44147,2,2,300,58,1458
44149,2,1,300,10,1458
44150,2,2,300,40,1458
44151,2,2,300,62,1458
44154,2,1,300,200,1458
44155,2,2,300,18,1458
44156,2,2,300,200,1458
44157,2,0,300,9,1458
44158,2,1,300,96,1458
44159,2,2,300,40,1458
44161,2,2,300,32,1458
44162,2,0,300,35,1458
44164,2,1,300,48,1458
44165,2,0,300,59,1458
44166,2,2,300,18,1458
44167,2,2,300,32,1458
44168,2,2,300,178,1458
44169,2,1,300,56,1458
44170,2,2,300,16,1458
44173,2,1,300,48,1458
44174,2,2,300,76,1458
44176,2,2,300,40,1458
44177,2,2,300,71,1458
44179,2,0,300,280,1458
44181,2,1,300,130,1458
44183,2,1,300,40,1458
44184,2,1,300,254,1458
44185,2,2,300,16,1458
44186,2,1,300,40,1458
44187,2,0,300,148,1458
44188,2,2,300,40,1458
44189,2,2,300,12,1458
44190,2,2,300,167,1458
44191,2,2,300,192,1458
44194,2,0,300,148,1458
44195,2,2,300,40,1458
44196,2,1,300,40,1458
44197,2,2,300,135,1458
44198,2,2,300,40,1458
44199,2,2,300,12,1458
44201,2,0,300,40,1458
44203,2,0,300,59,1458
44204,2,2,300,64,1458
44205,2,1,300,56,1458
44208,2,1,300,53,1458
44209,2,2,300,100,1458
44210,2,2,300,12,1458
44211,2,1,300,40,1458
44212,2,2,300,168,1458
44217,2,0,300,59,1458
44218,2,1,300,268,1458
44219,2,2,300,246,1458
44222,2,0,300,68,1458
44224,2,2,300,44,1458
44225,2,2,300,40,1458
44228,2,2,300,230,1458
44229,2,2,300,121,1458
44230,2,0,300,59,1458
44233,2,2,300,116,1458
44234,2,1,300,133,1458
44236,2,1,300,38,1458
44237,2,2,300,40,1458
44239,2,1,300,40,1458
44241,2,1,300,40,1458
44242,2,2,300,28,1458
44243,2,2,300,5,1458
44245,2,1,300,64,1458
44247,2,0,300,59,1458
44248,2,2,300,12,1458
44249,2,2,300,218,1458
44250,2,2,300,56,1458
44254,2,0,300,250,1458
44255,2,2,300,40,1458
44257,2,2,300,20,1458
44258,2,0,300,148,1458
44259,2,2,300,52,1458
44260,2,1,300,210,1458
44263,2,2,300,40,1458
44265,2,0,300,59,1458
44266,2,0,300,148,1458
44267,2,2,300,32,1458
44269,2,1,300,55,1458
44273,2,2,300,200,1458
44274,2,1,300,35,1458
44276,2,2,300,72,1458
44278,2,2,300,125,1458
44279,2,1,300,34,1458
44282,2,2,300,83,1458
44285,2,2,300,144,1458
44288,2,2,300,48,1458
44293,2,2,300,124,1458
44294,2,2,300,30,1458
44298,2,2,300,4,1458
44300,2,2,300,40,1458
44302,2,2,300,68,1458
44304,2,0,300,8,1458
44305,2,1,300,58,1458
44306,2,2,300,18,1458
44308,2,0,300,40,1458
44313,2,1,300,20,1458
44319,2,0,300,162,1458
44322,2,2,300,32,1458
44323,2,2,300,5,1458
44328,2,1,300,106,1458
44329,2,2,300,97,1458
44330,2,2,300,126,1458
44332,2,0,300,81,1458
44333,2,1,300,12,1458
44336,2,2,300,76,1458
44337,2,0,300,52,1458
44340,2,0,300,59,1458
44341,2,1,300,80,1458
44343,2,2,300,40,1458
44345,2,2,300,40,1458
44346,2,2,300,231,1458
44347,2,0,300,40,1458
44348,2,2,300,179,1458
44350,2,2,300,21,1458
44352,2,2,300,40,1458
44354,2,1,300,93,1458
44356,2,0,300,59,1458
44361,2,2,300,100,1458
44362,2,2,300,40,1458
44363,2,2,300,10,1458
44364,2,1,300,116,1458
44365,2,0,300,40,1458
44368,2,0,300,59,1458
44370,2,2,300,34,1458
44371,2,1,300,81,1458
44373,2,0,300,24,1458
44376,2,2,300,5,1458
44377,2,1,300,16,1458
44378,2,0,300,148,1458
44379,2,2,300,110,1458
44380,2,1,300,48,1458
44385,2,2,300,21,1458
44387,2,0,300,103,1458
44389,2,2,300,32,1458
44390,2,2,300,40,1458
44391,2,2,300,160,1458
44392,2,1,300,103,1458
44393,2,0,300,24,1458
44396,2,2,300,18,1458
44397,2,2,300,32,1458
44398,2,2,300,86,1458
44399,2,0,300,59,1458
44405,2,2,300,262,1458
44406,2,2,300,40,1458
44413,2,2,300,40,1458
44415,2,0,300,148,1458
44416,2,2,300,57,1458
44417,2,0,300,24,1458
44420,2,1,300,104,1458
44422,2,2,300,254,1458
44424,2,1,300,279,1458
44425,2,2,300,18,1458
44427,2,2,300,74,1458
44428,2,2,300,20,1458
44430,2,1,300,192,1458
44432,2,0,300,40,1458
44433,2,1,300,55,1458
44434,2,1,300,80,1458
44435,2,2,300,115,1458
44436,2,2,300,84,1458
44437,2,1,300,259,1458
44438,2,2,300,51,1458
44439,2,2,300,40,1458
44442,2,2,300,40,1458
44443,2,2,300,74,1458
44444,2,2,300,22,1458
44445,2,0,300,59,1458
44446,2,2,300,69,1458
44447,2,1,300,213,1458
44449,2,0,300,59,1458
44450,2,2,300,40,1458
44451,2,2,300,61,1458
44455,2,0,300,148,1458
44456,2,0,300,59,1458
44457,2,1,300,122,1458
44458,2,2,300,17,1458
44459,2,2,300,40,1458
44460,2,2,300,166,1458
44462,2,2,300,18,1458
44464,2,2,300,20,1458
44465,2,2,300,32,1458
44467,2,2,300,131,1458
44468,2,2,300,53,1458
44470,2,0,300,103,1458
44472,2,2,300,40,1458
44477,2,2,300,5,1458
44478,2,2,300,46,1458
44482,2,2,300,5,1458
44483,2,0,300,177,1458
44484,2,2,300,53,1458
44492,2,0,300,148,1458
44493,2,2,300,8,1458
44495,2,2,300,128,1458
44496,2,0,300,59,1458
44499,2,2,300,32,1458
44505,2,1,300,190,1458
44507,2,2,300,135,1458
44508,2,0,300,40,1458
44513,2,2,300,104,1458
44515,2,2,300,40,1458
44517,2,2,300,58,1458
44519,2,2,300,52,1458
44520,2,0,300,148,1458
44522,2,1,300,209,1458
44523,2,1,300,119,1458
44524,2,2,300,200,1458
44525,2,0,300,133,1458
44529,2,2,300,40,1458
44531,2,1,300,132,1458
44532,2,2,300,27,1458
44534,2,1,300,47,1458
44538,2,2,300,200,1458
44540,2,1,300,32,1458
44543,2,1,300,54,1458
44546,2,2,300,88,1458
44547,2,0,300,162,1458
44550,2,2,300,86,1458
44553,2,0,300,59,1458
44558,2,2,300,44,1458
44559,2,2,300,141,1458
44562,2,2,300,16,1458
44563,2,2,300,40,1458
44564,2,0,300,148,1458
44567,2,2,300,12,1458
44568,2,2,300,41,1458
44569,2,1,300,10,1458
44571,2,1,300,40,1458
44573,2,2,300,40,1458
44574,2,2,300,40,1458
44577,2,1,300,108,1458
44580,2,2,300,20,1458
44581,2,0,300,103,1458
44582,2,0,300,59,1458
44585,2,0,300,148,1458
44586,2,2,300,10,1458
44589,2,2,300,32,1458
44590,2,0,300,59,1458
44591,2,1,300,50,1458
44593,2,2,300,40,1458
44595,2,2,300,18,1458
44596,2,0,300,148,1458
44598,2,2,300,40,1458
44601,2,1,300,34,1458
44605,2,2,300,48,1458
44606,2,1,300,40,1458
44611,2,0,300,192,1458
44614,2,1,300,65,1458
44615,2,2,300,41,1458
44619,2,0,300,148,1458
44621,2,2,300,40,1458
44624,2,2,300,14,1458
44626,2,1,300,40,1458
44627,2,2,300,22,1458
44630,2,0,300,103,1458
44632,2,2,300,40,1458
44633,2,0,300,59,1458
44636,2,1,300,32,1458
44638,2,0,300,148,1458
44640,2,1,300,24,1458
44642,2,2,300,138,1458
44644,2,1,300,48,1458
44646,2,2,300,91,1458
44648,2,2,300,40,1458
44649,2,2,300,188,1458
44652,2,1,300,40,1458
44655,2,1,300,52,1458
44659,2,0,300,148,1458
44660,2,2,300,22,1458
44661,2,2,300,37,1458
44667,2,1,300,143,1458
44669,2,0,300,133,1458
44672,2,2,300,10,1458
44673,2,2,300,40,1458
44678,2,2,300,40,1458
44679,2,0,300,228,1458
44681,2,1,300,42,1458
44683,2,2,300,46,1458
44684,2,2,300,40,1458
44686,2,1,300,261,1458
44688,2,2,300,50,1458
44690,2,2,300,40,1458
44694,2,0,300,148,1458
44697,2,0,300,59,1458
44700,2,2,300,20,1458
44704,2,2,300,40,1458
44706,2,2,300,141,1458
44707,2,2,300,20,1458
44711,2,2,300,40,1458
44712,2,2,300,28,1458
44716,2,2,300,24,1458
44718,2,0,300,148,1458
44720,2,1,300,183,1458
44722,2,2,300,40,1458
44723,2,0,300,148,1458
44724,2,0,300,133,1458
44727,2,2,300,170,1458
44729,2,1,300,102,1458
44733,2,2,300,22,1458
44734,2,2,300,20,1458
44735,2,1,300,264,1458
44736,2,1,300,65,1458
44739,2,2,300,5,1458
44741,2,0,300,148,1458
44742,2,1,300,71,1458
44749,2,0,300,32,1458
44750,2,0,300,155,1458
44752,2,0,300,59,1458
44754,2,2,300,92,1458
44757,2,1,300,188,1458
44758,2,2,300,132,1458
44759,2,0,300,59,1458
44764,2,2,300,206,1458
44766,2,0,300,148,1458
44767,2,2,300,6,1458
44770,2,1,300,110,1458
44772,2,2,300,18,1458
44774,2,2,300,18,1458
44776,2,1,300,40,1458
44782,2,2,300,102,1458
44783,2,2,300,70,1458
44785,2,2,300,44,1458
44786,2,0,300,133,1458
44787,2,0,300,59,1458
44793,2,1,300,40,1458
44796,2,0,300,162,1458
44799,2,0,300,177,1458
44800,2,2,300,40,1458
44802,2,2,300,40,1458
44803,2,2,300,201,1458
44804,2,2,300,184,1458
44805,2,1,300,121,1458
44806,2,1,300,133,1458
44811,2,2,300,40,1458
44812,2,2,300,34,1458
44815,2,1,300,40,1458
44817,2,1,300,276,1458
44820,2,2,300,32,1458
44823,2,1,300,40,1458
44824,2,2,300,32,1458
44825,2,2,300,16,1458
44826,2,1,300,170,1458
44828,2,2,300,21,1458
44832,2,2,300,32,1458
44833,2,2,300,14,1458
44835,2,0,300,148,1458
44836,2,2,300,40,1458
44838,2,2,300,40,1458
44840,2,2,300,196,1458
44841,2,2,300,40,1458
44842,2,0,300,162,1458
44843,2,0,300,59,1458
44844,2,2,300,32,1458
44845,2,2,300,18,1458
44846,2,2,300,14,1458
44847,2,1,300,71,1458
44848,2,1,300,18,1458
44851,2,2,300,151,1458
44852,2,2,300,32,1458
44856,2,1,300,72,1458
44864,2,1,300,40,1458
44865,2,2,300,42,1458
44866,2,2,300,122,1458
44874,2,1,300,129,1458
44878,2,2,300,8,1458
44880,2,2,300,16,1458
44881,2,1,300,182,1458
44882,2,1,300,76,1458
44883,2,0,300,59,1458
44887,2,1,300,23,1458
44888,2,2,300,40,1458
44898,2,1,300,40,1458
44902,2,2,300,82,1458
44904,2,2,300,49,1458
44905,2,0,300,65,1458
44906,2,1,300,18,1458
44907,2,2,300,62,1458
44908,2,0,300,40,1458
44909,2,2,300,20,1458
44910,2,2,300,46,1458
44912,2,1,300,67,1458
44914,2,0,300,148,1458
44915,2,2,300,36,1458
44916,2,0,300,40,1458
44918,2,2,300,40,1458
44922,2,1,300,19,1458
44923,2,2,300,109,1458
44924,2,0,300,162,1458
44925,2,1,300,121,1458
44926,2,2,300,108,1458
44927,2,2,300,42,1458
44928,2,0,300,148,1458
44929,2,2,300,40,1458
44933,2,2,300,16,1458
44937,2,0,300,177,1458
44938,2,2,300,56,1458
44939,2,2,300,68,1458
44940,2,2,300,135,1458
44943,2,0,300,59,1458
44944,2,1,300,45,1458
44946,2,0,300,148,1458
44947,2,2,300,87,1458
44949,2,2,300,122,1458
44950,2,1,300,270,1458
44953,2,1,300,40,1458
44957,2,2,300,155,1458
44959,2,2,300,19,1458
44961,2,2,300,16,1458
44965,2,2,300,88,1458
44968,2,2,300,66,1458
44982,2,1,300,74,1458
44984,2,0,300,59,1458
44996,2,1,300,145,1458
45027,2,1,300,56,1458
45030,2,2,300,59,1458
45059,2,2,300,63,1458
45060,2,2,300,40,1458
45061,2,2,300,14,1458
45109,2,1,300,213,1458
45180,2,2,300,24,1458
45181,2,2,300,14,1458
45186,2,2,300,45,1458
45189,2,2,300,40,1458
45192,2,1,300,55,1458
45193,2,0,300,59,1458
45194,2,1,300,203,1458
45195,2,0,300,59,1458
45196,2,0,300,59,1458
45197,2,1,300,68,1458
45198,2,1,300,270,1458
45199,2,2,300,40,1458
45200,2,2,300,12,1458
45201,2,0,300,59,1458
45202,2,2,300,40,1458
45203,2,2,300,16,1458
45204,2,1,300,36,1458
45205,2,2,300,40,1458
45206,2,2,300,32,1458
45207,2,0,300,177,1458
45208,2,2,300,248,1458
45209,2,1,300,155,1458
45210,2,0,300,148,1458
45211,2,0,300,162,1458
45212,2,1,300,40,1458
45213,2,2,300,22,1458
45214,2,2,300,8,1458
45215,2,2,300,40,1458
45216,2,0,300,59,1458
45217,2,1,300,34,1458
45218,2,2,300,75,1458
45219,2,0,300,59,1458
45220,2,2,300,184,1458
45221,2,2,300,59,1458
45222,2,1,300,32,1458
45223,2,1,300,196,1458
45224,2,1,300,40,1458
45225,2,0,300,103,1458
45226,2,2,300,40,1458
45227,2,2,300,12,1458
45228,2,2,300,23,1458
45229,2,2,300,165,1458
45230,2,2,300,18,1458
45231,2,0,300,59,1458
45232,2,0,300,67,1458
45233,2,2,300,85,1458
45234,2,1,300,40,1458
45235,2,1,300,138,1458
45236,2,2,300,40,1458
45237,2,1,300,203,1458
45238,2,1,300,70,1458
45239,2,0,300,249,1458
45240,2,0,300,162,1458
